"CPID","Year","SurveyDate","BlockID","SiteID","FragSize","SizeClass","ForestProp1km","FragRatio1km","ForestProp1kmRadius","FragRatio1kmRadius","Hunted","BrowseProb","PlotID","CornerFlagged","Latitude","Longitude","HostID","Host","HostFamily","HostGenus","HostSpecies","HostAbund","IndNum","BranchNum","BranchLength","BranchDiam","NumLeaves","CatID","ScientificName","Count","BadHost","Family","Genus","Species","MicroLep","Specialist","wtMPD","Records","Hosts","RearID","Notes"
33,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"ACESA","Acer saccharum","Sapindaceae","Acer","saccharum",1,1,1,NA,NA,428,"EUPIXX","Eupithecia",1,NA,"Geometridae","Eupithecia","","no","no",227,94,22,"HU610-2",""
34,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"NYSSY","Nyssa sylvatica","Cornaceae","Nyssa","sylvatica",1,1,1,NA,NA,57,"EUTRCL","Eutrapela clemataria",1,NA,"Geometridae","Eutrapela","clemataria","no","no",224.43,45,20,NA,""
35,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"CARCA","Carpinus caroliniana","Betulaceae","Carpinus","caroliniana",2,1,1,NA,NA,365,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
36,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"CARCA","Carpinus caroliniana","Betulaceae","Carpinus","caroliniana",2,2,2,NA,NA,803,"MORRLA","Morrisonia latex",1,NA,"Noctuidae","Morrisonia","latex","no","no",206.84,11,7,NA,""
37,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"PRUSE","Prunus serotina","Rosaceae","Prunus","serotina",1,1,1,NA,NA,120,"MELACA","Melanolophia canadaria",1,NA,"Geometridae","Melanolophia","canadaria","no","no",217.45,369,32,NA,""
38,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,4,9,NA,NA,428,"EUPIXX","Eupithecia",1,NA,"Geometridae","Eupithecia","","no","no",227,94,22,"HU610-3",""
39,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"KALLA","Kalmia latifolia","Ericaceae","Kalmia","latifolia",4,1,1,NA,NA,618,"EUPSXX","Eupsilia",1,NA,"Noctuidae","Eupsilia","","no","",208.11,14,7,"HU610-4",""
40,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"KALLA","Kalmia latifolia","Ericaceae","Kalmia","latifolia",4,1,1,NA,NA,618,"EUPSXX","Eupsilia",1,NA,"Noctuidae","Eupsilia","","no","",208.11,14,7,"HU610-5",""
41,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"KALLA","Kalmia latifolia","Ericaceae","Kalmia","latifolia",4,1,1,NA,NA,618,"MELACA","Melanolophia canadaria",1,NA,"Geometridae","Melanolophia","canadaria","no","no",217.45,369,32,NA,""
42,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"VACCO","Vaccinium corymbosum","Ericaceae","Vaccinium","corymbosum",1,1,1,NA,NA,204,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
43,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"KALLA","Kalmia latifolia","Ericaceae","Kalmia","latifolia",4,2,2,NA,NA,40,"EUTRCL","Eutrapela clemataria",1,NA,"Geometridae","Eutrapela","clemataria","no","no",224.43,45,20,NA,""
44,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"KALLA","Kalmia latifolia","Ericaceae","Kalmia","latifolia",4,3,3,NA,NA,82,"EUTRCL","Eutrapela clemataria",1,NA,"Geometridae","Eutrapela","clemataria","no","no",224.43,45,20,NA,""
45,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,5,10,NA,NA,307,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
46,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,6,11,NA,NA,107,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
47,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"KALLA","Kalmia latifolia","Ericaceae","Kalmia","latifolia",4,4,4,NA,NA,278,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
48,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,7,12,NA,NA,473,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
49,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,3,2,100,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
50,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,9,13,NA,NA,115,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
51,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,10,2,NA,NA,138,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
52,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,11,3,NA,NA,122,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
53,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,12,4,NA,NA,400,"CROCNO","Crocigrapha normani",1,NA,"Noctuidae","Crocigrapha","normani","no","no",230.76,70,21,NA,""
54,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,4,3,150,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
55,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,5,4,25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
56,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,6,5,200,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
57,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"PINST","Pinus strobus","Pinaceae","Pinus","strobus",6,7,6,300,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
58,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,13,5,NA,NA,116,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
59,2015,2015-06-10,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HB2","NW",41.465603,-72.539383,"BETLE","Betula lenta","Betulaceae","Betula","lenta",13,14,6,NA,NA,209,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
60,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,1,1,NA,NA,485,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
61,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,2,12,NA,NA,405,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
62,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,3,21,NA,NA,140,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
63,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,4,22,NA,NA,78,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
64,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,5,23,NA,NA,693,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
65,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,6,24,NA,NA,41,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
66,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,7,25,NA,NA,179,"MELACA","Melanolophia canadaria",1,NA,"Geometridae","Melanolophia","canadaria","no","no",217.45,369,32,NA,""
67,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,8,26,NA,NA,35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
68,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,9,27,NA,NA,110,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
69,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,10,2,NA,NA,24,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
70,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,11,3,NA,NA,227,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
71,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,12,4,NA,NA,226,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
72,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,13,5,NA,NA,374,"EUPISW","Eupithecia swettii",1,NA,"Geometridae","Eupithecia","swettii","no","no",185.96,129,26,"HU611-6",""
73,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,14,6,NA,NA,16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
74,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,15,7,NA,NA,265,"EUPIXX","Eupithecia",1,NA,"Geometridae","Eupithecia","","no","no",227,94,22,"HU611-7",""
75,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,16,8,NA,NA,52,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
76,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,17,9,NA,NA,522,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
77,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,18,10,NA,NA,447,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
78,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,19,11,NA,NA,211,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
79,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,20,13,NA,NA,62,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
80,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,21,14,NA,NA,287,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
81,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,22,15,NA,NA,25,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
82,2015,2015-06-11,"CP","HRS",2.973,"small",0.79,0.826,0.783,0.997,"yes",0.275,"CP_HRS_HC1","NW",41.465488,-72.540771,"BETLE","Betula lenta","Betulaceae","Betula","lenta",27,23,16,NA,NA,45,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
